Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.821045930,0,0,0,0,1,1,1,1
0.859838688,0,1,0,0,1,1,1,1
0.860217000,1,1,0,0,1,1,1,1
0.877791312,1,1,1,0,1,1,1,1
0.877820313,1,1,0,0,1,1,1,1
0.895478625,1,1,1,0,1,1,1,1
0.895505937,1,1,0,0,1,1,1,1
0.913152625,1,1,1,0,1,1,1,1
0.913181625,1,1,0,0,1,1,1,1
0.930829313,1,1,1,0,1,1,1,1
0.930857188,1,1,0,0,1,1,1,1
0.948517250,1,1,1,0,1,1,1,1
0.948546563,1,1,0,0,1,1,1,1
0.966195313,1,1,1,0,1,1,1,1
0.966222438,1,1,0,0,1,1,1,1
0.983789875,1,1,1,0,1,1,1,1
0.983820375,1,1,0,0,1,1,1,1
0.984733938,1,1,1,0,1,1,1,1
0.984760188,1,1,0,0,1,1,1,1
0.985797625,1,1,1,0,1,1,1,1
0.985824000,1,1,0,0,1,1,1,1
0.986737187,1,1,1,0,1,1,1,1
0.986763437,1,1,0,0,1,1,1,1
0.986767750,0,1,0,0,1,1,1,1
0.986777438,0,0,0,0,1,1,1,1
1.062400000,0,0,0,0,1,1,1,1
