Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.533828956,0,0,0,0,1,1,1,1
0.579294000,0,1,0,0,1,1,1,1
0.579672250,1,1,0,0,1,1,1,1
0.580159750,1,1,1,0,1,1,1,1
0.580188000,1,1,0,0,1,1,1,1
0.581096687,1,1,1,0,1,1,1,1
0.581123313,1,1,0,0,1,1,1,1
0.582157875,1,1,1,0,1,1,1,1
0.582186063,1,1,0,0,1,1,1,1
0.583094812,1,1,1,0,1,1,1,1
0.583121313,1,1,0,0,1,1,1,1
0.584155875,1,1,1,0,1,1,1,1
0.584183937,1,1,0,0,1,1,1,1
0.585092562,1,1,1,0,1,1,1,1
0.585119063,1,1,0,0,1,1,1,1
0.586156563,1,1,1,0,1,1,1,1
0.586183750,1,1,0,0,1,1,1,1
0.587096000,1,1,1,0,1,1,1,1
0.587122250,1,1,0,0,1,1,1,1
0.588160000,1,1,1,0,1,1,1,1
0.588186375,1,1,0,0,1,1,1,1
0.589098000,1,1,1,0,1,1,1,1
0.589124250,1,1,0,0,1,1,1,1
0.589128688,0,1,0,0,1,1,1,1
0.589138562,0,0,0,0,1,1,1,1
0.651014563,0,0,0,0,1,1,1,1
