Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1.143009001,0,0,0,0,1,1,1,1
1.161079812,0,1,0,0,1,1,1,1
1.161458500,1,1,0,0,1,1,1,1
1.164001375,1,1,1,0,1,1,1,1
1.164028750,1,1,0,0,1,1,1,1
1.166612500,1,1,1,0,1,1,1,1
1.166639500,1,1,0,0,1,1,1,1
1.169238938,1,1,1,0,1,1,1,1
1.169266313,1,1,0,0,1,1,1,1
1.171848375,1,1,1,0,1,1,1,1
1.171875438,1,1,0,0,1,1,1,1
1.174474500,1,1,1,0,1,1,1,1
1.174502000,1,1,0,0,1,1,1,1
1.177083000,1,1,1,0,1,1,1,1
1.177110813,1,1,0,0,1,1,1,1
1.179601813,1,1,1,0,1,1,1,1
1.179632875,1,1,0,0,1,1,1,1
1.180542313,1,1,1,0,1,1,1,1
1.180568625,1,1,0,0,1,1,1,1
1.181603875,1,1,1,0,1,1,1,1
1.181630312,1,1,0,0,1,1,1,1
1.182539875,1,1,1,0,1,1,1,1
1.182566250,1,1,0,0,1,1,1,1
1.182571125,0,1,0,0,1,1,1,1
1.182580250,0,0,0,0,1,1,1,1
1.221945625,0,0,0,0,1,1,1,1
