Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.680941402,0,0,0,0,1,1,1,1
0.704631812,0,1,0,0,1,1,1,1
0.705010125,1,1,0,0,1,1,1,1
0.707810938,1,1,1,0,1,1,1,1
0.707840125,1,1,0,0,1,1,1,1
0.710684375,1,1,1,0,1,1,1,1
0.710711625,1,1,0,0,1,1,1,1
0.713564813,1,1,1,0,1,1,1,1
0.713594250,1,1,0,0,1,1,1,1
0.716437813,1,1,1,0,1,1,1,1
0.716465313,1,1,0,0,1,1,1,1
0.719318375,1,1,1,0,1,1,1,1
0.719348063,1,1,0,0,1,1,1,1
0.722189813,1,1,1,0,1,1,1,1
0.722217000,1,1,0,0,1,1,1,1
0.724976375,1,1,1,0,1,1,1,1
0.725007875,1,1,0,0,1,1,1,1
0.725920000,1,1,1,0,1,1,1,1
0.725946312,1,1,0,0,1,1,1,1
0.726983625,1,1,1,0,1,1,1,1
0.727010062,1,1,0,0,1,1,1,1
0.727921313,1,1,1,0,1,1,1,1
0.727947625,1,1,0,0,1,1,1,1
0.727952062,0,1,0,0,1,1,1,1
0.727961625,0,0,0,0,1,1,1,1
0.760725500,0,0,0,0,1,1,1,1
