Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1.189321320,0,0,0,0,1,1,1,1
1.199845750,0,1,0,0,1,1,1,1
1.200224812,1,1,0,0,1,1,1,1
1.202039312,1,1,1,0,1,1,1,1
1.202064125,1,1,0,0,1,1,1,1
1.204209312,1,1,1,0,1,1,1,1
1.204234000,1,1,0,0,1,1,1,1
1.206018688,1,1,1,0,1,1,1,1
1.206043375,1,1,0,0,1,1,1,1
1.208189063,1,1,1,0,1,1,1,1
1.208213750,1,1,0,0,1,1,1,1
1.210001000,1,1,1,0,1,1,1,1
1.210025687,1,1,0,0,1,1,1,1
1.212169000,1,1,1,0,1,1,1,1
1.212193625,1,1,0,0,1,1,1,1
1.213983500,1,1,1,0,1,1,1,1
1.214008187,1,1,0,0,1,1,1,1
1.216151812,1,1,1,0,1,1,1,1
1.216176500,1,1,0,0,1,1,1,1
1.217960250,1,1,1,0,1,1,1,1
1.217984938,1,1,0,0,1,1,1,1
1.220142562,1,1,1,0,1,1,1,1
1.220167250,1,1,0,0,1,1,1,1
1.220171625,0,1,0,0,1,1,1,1
1.220180188,0,0,0,0,1,1,1,1
1.244953812,0,0,0,0,1,1,1,1
