Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.838296108,0,0,0,0,1,1,1,1
0.885725375,0,1,0,0,1,1,1,1
0.886104312,1,1,0,0,1,1,1,1
0.892709375,1,1,1,0,1,1,1,1
0.892740750,1,1,0,0,1,1,1,1
0.898838187,1,1,1,0,1,1,1,1
0.898868500,1,1,0,0,1,1,1,1
0.905512437,1,1,1,0,1,1,1,1
0.905543000,1,1,0,0,1,1,1,1
0.911641438,1,1,1,0,1,1,1,1
0.911671563,1,1,0,0,1,1,1,1
0.918313812,1,1,1,0,1,1,1,1
0.918344000,1,1,0,0,1,1,1,1
0.924440375,1,1,1,0,1,1,1,1
0.924471062,1,1,0,0,1,1,1,1
0.931112000,1,1,1,0,1,1,1,1
0.931140688,1,1,0,0,1,1,1,1
0.937238812,1,1,1,0,1,1,1,1
0.937270000,1,1,0,0,1,1,1,1
0.943911687,1,1,1,0,1,1,1,1
0.943942313,1,1,0,0,1,1,1,1
0.950050687,1,1,1,0,1,1,1,1
0.950081687,1,1,0,0,1,1,1,1
0.950086063,0,1,0,0,1,1,1,1
0.950094625,0,0,0,0,1,1,1,1
1.019038625,0,0,0,0,1,1,1,1
