Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.635219123,0,0,0,0,1,1,1,1
0.661403437,0,1,0,0,1,1,1,1
0.661781313,1,1,0,0,1,1,1,1
0.665463687,1,1,1,0,1,1,1,1
0.665495687,1,1,0,0,1,1,1,1
0.669171250,1,1,1,0,1,1,1,1
0.669200687,1,1,0,0,1,1,1,1
0.672933875,1,1,1,0,1,1,1,1
0.672965000,1,1,0,0,1,1,1,1
0.676639250,1,1,1,0,1,1,1,1
0.676669125,1,1,0,0,1,1,1,1
0.680401062,1,1,1,0,1,1,1,1
0.680432750,1,1,0,0,1,1,1,1
0.684109813,1,1,1,0,1,1,1,1
0.684140312,1,1,0,0,1,1,1,1
0.687874187,1,1,1,0,1,1,1,1
0.687906500,1,1,0,0,1,1,1,1
0.691580813,1,1,1,0,1,1,1,1
0.691610375,1,1,0,0,1,1,1,1
0.695342000,1,1,1,0,1,1,1,1
0.695373438,1,1,0,0,1,1,1,1
0.699048438,1,1,1,0,1,1,1,1
0.699077063,1,1,0,0,1,1,1,1
0.699081750,0,1,0,0,1,1,1,1
0.699090500,0,0,0,0,1,1,1,1
0.747441750,0,0,0,0,1,1,1,1
