Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.729745605,0,0,0,0,1,1,1,1
0.734672625,0,1,0,0,1,1,1,1
0.735051375,1,1,0,0,1,1,1,1
0.736112063,1,1,1,0,1,1,1,1
0.736139688,1,1,0,0,1,1,1,1
0.737628500,1,1,1,0,1,1,1,1
0.737654000,1,1,0,0,1,1,1,1
0.738724938,1,1,1,0,1,1,1,1
0.738752562,1,1,0,0,1,1,1,1
0.740239187,1,1,1,0,1,1,1,1
0.740264750,1,1,0,0,1,1,1,1
0.741334000,1,1,1,0,1,1,1,1
0.741361750,1,1,0,0,1,1,1,1
0.742849125,1,1,1,0,1,1,1,1
0.742874687,1,1,0,0,1,1,1,1
0.743944500,1,1,1,0,1,1,1,1
0.743972125,1,1,0,0,1,1,1,1
0.745459500,1,1,1,0,1,1,1,1
0.745484938,1,1,0,0,1,1,1,1
0.746555875,1,1,1,0,1,1,1,1
0.746583500,1,1,0,0,1,1,1,1
0.748090687,1,1,1,0,1,1,1,1
0.748116187,1,1,0,0,1,1,1,1
0.748120500,0,1,0,0,1,1,1,1
0.748128812,0,0,0,0,1,1,1,1
0.761870188,0,0,0,0,1,1,1,1
