Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.590467432,0,0,0,0,1,1,1,1
0.599712562,0,1,0,0,1,1,1,1
0.600091687,1,1,0,0,1,1,1,1
0.604261375,1,1,1,0,1,1,1,1
0.604296625,1,1,0,0,1,1,1,1
0.607969563,1,1,1,0,1,1,1,1
0.608004688,1,1,0,0,1,1,1,1
0.612203313,1,1,1,0,1,1,1,1
0.612238562,1,1,0,0,1,1,1,1
0.615903375,1,1,1,0,1,1,1,1
0.615938375,1,1,0,0,1,1,1,1
0.620137625,1,1,1,0,1,1,1,1
0.620172938,1,1,0,0,1,1,1,1
0.623842875,1,1,1,0,1,1,1,1
0.623878000,1,1,0,0,1,1,1,1
0.628076813,1,1,1,0,1,1,1,1
0.628112000,1,1,0,0,1,1,1,1
0.631782562,1,1,1,0,1,1,1,1
0.631817562,1,1,0,0,1,1,1,1
0.636015500,1,1,1,0,1,1,1,1
0.636050563,1,1,0,0,1,1,1,1
0.639739438,1,1,1,0,1,1,1,1
0.639774250,1,1,0,0,1,1,1,1
0.639778250,0,1,0,0,1,1,1,1
0.639786813,0,0,0,0,1,1,1,1
0.670873063,0,0,0,0,1,1,1,1
