Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.719196832,0,0,0,0,1,1,1,1
0.729854187,0,1,0,0,1,1,1,1
0.730233125,1,1,0,0,1,1,1,1
0.731312250,1,1,1,0,1,1,1,1
0.731339813,1,1,0,0,1,1,1,1
0.732850312,1,1,1,0,1,1,1,1
0.732876500,1,1,0,0,1,1,1,1
0.733967375,1,1,1,0,1,1,1,1
0.733995063,1,1,0,0,1,1,1,1
0.735506937,1,1,1,0,1,1,1,1
0.735532375,1,1,0,0,1,1,1,1
0.736622125,1,1,1,0,1,1,1,1
0.736649937,1,1,0,0,1,1,1,1
0.738160313,1,1,1,0,1,1,1,1
0.738185875,1,1,0,0,1,1,1,1
0.739272750,1,1,1,0,1,1,1,1
0.739300500,1,1,0,0,1,1,1,1
0.740811250,1,1,1,0,1,1,1,1
0.740836812,1,1,0,0,1,1,1,1
0.741923375,1,1,1,0,1,1,1,1
0.741951000,1,1,0,0,1,1,1,1
0.743483187,1,1,1,0,1,1,1,1
0.743508625,1,1,0,0,1,1,1,1
0.743512875,0,1,0,0,1,1,1,1
0.743521813,0,0,0,0,1,1,1,1
0.766920625,0,0,0,0,1,1,1,1
