Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1.030965409,0,0,0,0,1,1,1,1
1.074583000,0,1,0,0,1,1,1,1
1.074960437,1,1,0,0,1,1,1,1
1.081669812,1,1,1,0,1,1,1,1
1.081705250,1,1,0,0,1,1,1,1
1.087917938,1,1,1,0,1,1,1,1
1.087953313,1,1,0,0,1,1,1,1
1.094692938,1,1,1,0,1,1,1,1
1.094728250,1,1,0,0,1,1,1,1
1.100941625,1,1,1,0,1,1,1,1
1.100977000,1,1,0,0,1,1,1,1
1.107716937,1,1,1,0,1,1,1,1
1.107752250,1,1,0,0,1,1,1,1
1.113964500,1,1,1,0,1,1,1,1
1.113999875,1,1,0,0,1,1,1,1
1.120741625,1,1,1,0,1,1,1,1
1.120777125,1,1,0,0,1,1,1,1
1.126990187,1,1,1,0,1,1,1,1
1.127025500,1,1,0,0,1,1,1,1
1.133764688,1,1,1,0,1,1,1,1
1.133800187,1,1,0,0,1,1,1,1
1.140036000,1,1,1,0,1,1,1,1
1.140071312,1,1,0,0,1,1,1,1
1.140076062,0,1,0,0,1,1,1,1
1.140084937,0,0,0,0,1,1,1,1
1.219578562,0,0,0,0,1,1,1,1
