Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1.085552908,0,0,0,0,1,1,1,1
1.106343687,0,1,0,0,1,1,1,1
1.106722250,1,1,0,0,1,1,1,1
1.107140812,1,1,1,0,1,1,1,1
1.107168500,1,1,0,0,1,1,1,1
1.107839938,1,1,1,0,1,1,1,1
1.107865750,1,1,0,0,1,1,1,1
1.108825875,1,1,1,0,1,1,1,1
1.108853687,1,1,0,0,1,1,1,1
1.109525000,1,1,1,0,1,1,1,1
1.109550750,1,1,0,0,1,1,1,1
1.110511375,1,1,1,0,1,1,1,1
1.110539188,1,1,0,0,1,1,1,1
1.111210625,1,1,1,0,1,1,1,1
1.111236375,1,1,0,0,1,1,1,1
1.112197000,1,1,1,0,1,1,1,1
1.112224687,1,1,0,0,1,1,1,1
1.112895500,1,1,1,0,1,1,1,1
1.112921312,1,1,0,0,1,1,1,1
1.113881312,1,1,1,0,1,1,1,1
1.113909063,1,1,0,0,1,1,1,1
1.114586687,1,1,1,0,1,1,1,1
1.114612375,1,1,0,0,1,1,1,1
1.114616937,0,1,0,0,1,1,1,1
1.114626250,0,0,0,0,1,1,1,1
1.143981625,0,0,0,0,1,1,1,1
