Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.911992220,0,0,0,0,1,1,1,1
0.921034187,0,1,0,0,1,1,1,1
0.921411750,1,1,0,0,1,1,1,1
0.921862938,1,1,1,0,1,1,1,1
0.921892438,1,1,0,0,1,1,1,1
0.922549000,1,1,1,0,1,1,1,1
0.922575937,1,1,0,0,1,1,1,1
0.923533687,1,1,1,0,1,1,1,1
0.923562750,1,1,0,0,1,1,1,1
0.924219688,1,1,1,0,1,1,1,1
0.924246688,1,1,0,0,1,1,1,1
0.925204438,1,1,1,0,1,1,1,1
0.925233437,1,1,0,0,1,1,1,1
0.925890563,1,1,1,0,1,1,1,1
0.925917563,1,1,0,0,1,1,1,1
0.926875750,1,1,1,0,1,1,1,1
0.926904687,1,1,0,0,1,1,1,1
0.927561562,1,1,1,0,1,1,1,1
0.927588562,1,1,0,0,1,1,1,1
0.928546563,1,1,1,0,1,1,1,1
0.928575500,1,1,0,0,1,1,1,1
0.929239125,1,1,1,0,1,1,1,1
0.929266062,1,1,0,0,1,1,1,1
0.929270562,0,1,0,0,1,1,1,1
0.929279562,0,0,0,0,1,1,1,1
0.942641375,0,0,0,0,1,1,1,1
