Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1.163595400,0,0,0,0,1,1,1,1
1.202337000,0,1,0,0,1,1,1,1
1.202716250,1,1,0,0,1,1,1,1
1.208264812,1,1,1,0,1,1,1,1
1.208298625,1,1,0,0,1,1,1,1
1.214941812,1,1,1,0,1,1,1,1
1.214974000,1,1,0,0,1,1,1,1
1.222562625,1,1,1,0,1,1,1,1
1.222596750,1,1,0,0,1,1,1,1
1.230821375,1,1,1,0,1,1,1,1
1.230853375,1,1,0,0,1,1,1,1
1.240013063,1,1,1,0,1,1,1,1
1.240046750,1,1,0,0,1,1,1,1
1.249884125,1,1,1,0,1,1,1,1
1.249916312,1,1,0,0,1,1,1,1
1.260567687,1,1,1,0,1,1,1,1
1.260601500,1,1,0,0,1,1,1,1
1.271772375,1,1,1,0,1,1,1,1
1.271804875,1,1,0,0,1,1,1,1
1.279404938,1,1,1,0,1,1,1,1
1.279437250,1,1,0,0,1,1,1,1
1.280096563,1,1,1,0,1,1,1,1
1.280123750,1,1,0,0,1,1,1,1
1.280128187,0,1,0,0,1,1,1,1
1.280137125,0,0,0,0,1,1,1,1
1.341970937,0,0,0,0,1,1,1,1
