Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.954492977,0,0,0,0,1,1,1,1
1.004019625,0,1,0,0,1,1,1,1
1.004399188,1,1,0,0,1,1,1,1
1.010918750,1,1,1,0,1,1,1,1
1.010953250,1,1,0,0,1,1,1,1
1.018705187,1,1,1,0,1,1,1,1
1.018737562,1,1,0,0,1,1,1,1
1.027547000,1,1,1,0,1,1,1,1
1.027581750,1,1,0,0,1,1,1,1
1.037127250,1,1,1,0,1,1,1,1
1.037159187,1,1,0,0,1,1,1,1
1.047744438,1,1,1,0,1,1,1,1
1.047778813,1,1,0,0,1,1,1,1
1.059151625,1,1,1,0,1,1,1,1
1.059184125,1,1,0,0,1,1,1,1
1.071435687,1,1,1,0,1,1,1,1
1.071470313,1,1,0,0,1,1,1,1
1.084327125,1,1,1,0,1,1,1,1
1.084359438,1,1,0,0,1,1,1,1
1.092844625,1,1,1,0,1,1,1,1
1.092876687,1,1,0,0,1,1,1,1
1.093553875,1,1,1,0,1,1,1,1
1.093579500,1,1,0,0,1,1,1,1
1.093584125,0,1,0,0,1,1,1,1
1.093593625,0,0,0,0,1,1,1,1
1.150202500,0,0,0,0,1,1,1,1
