Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.977945537,0,0,0,0,1,1,1,1
1.026584938,0,1,0,0,1,1,1,1
1.026963875,1,1,0,0,1,1,1,1
1.033545813,1,1,1,0,1,1,1,1
1.033579625,1,1,0,0,1,1,1,1
1.041342250,1,1,1,0,1,1,1,1
1.041374625,1,1,0,0,1,1,1,1
1.050254625,1,1,1,0,1,1,1,1
1.050288437,1,1,0,0,1,1,1,1
1.059857562,1,1,1,0,1,1,1,1
1.059889687,1,1,0,0,1,1,1,1
1.070562187,1,1,1,0,1,1,1,1
1.070597312,1,1,0,0,1,1,1,1
1.081997000,1,1,1,0,1,1,1,1
1.082029437,1,1,0,0,1,1,1,1
1.094386375,1,1,1,0,1,1,1,1
1.094420313,1,1,0,0,1,1,1,1
1.107345688,1,1,1,0,1,1,1,1
1.107378313,1,1,0,0,1,1,1,1
1.116028250,1,1,1,0,1,1,1,1
1.116060188,1,1,0,0,1,1,1,1
1.116724438,1,1,1,0,1,1,1,1
1.116751313,1,1,0,0,1,1,1,1
1.116756125,0,1,0,0,1,1,1,1
1.116765562,0,0,0,0,1,1,1,1
1.171195063,0,0,0,0,1,1,1,1
