Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.939324192,0,0,0,0,1,1,1,1
0.982711000,0,1,0,0,1,1,1,1
0.983089813,1,1,0,0,1,1,1,1
0.985855812,1,1,1,0,1,1,1,1
0.985887125,1,1,0,0,1,1,1,1
0.987707438,1,1,1,0,1,1,1,1
0.987738250,1,1,0,0,1,1,1,1
0.990533625,1,1,1,0,1,1,1,1
0.990565687,1,1,0,0,1,1,1,1
0.994167500,1,1,1,0,1,1,1,1
0.994198438,1,1,0,0,1,1,1,1
0.998995063,1,1,1,0,1,1,1,1
0.999028313,1,1,0,0,1,1,1,1
1.000000688,1,1,1,0,1,1,1,1
1.000029562,1,1,0,0,1,1,1,1
1.001906875,1,1,1,0,1,1,1,1
1.001939750,1,1,0,0,1,1,1,1
1.004877625,1,1,1,0,1,1,1,1
1.004909000,1,1,0,0,1,1,1,1
1.008577813,1,1,1,0,1,1,1,1
1.008611375,1,1,0,0,1,1,1,1
1.012806500,1,1,1,0,1,1,1,1
1.012837437,1,1,0,0,1,1,1,1
1.012842438,0,1,0,0,1,1,1,1
1.012856500,0,0,0,0,1,1,1,1
1.065454750,0,0,0,0,1,1,1,1
