Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.855043002,0,0,0,0,1,1,1,1
0.870669250,0,1,0,0,1,1,1,1
0.871047937,1,1,0,0,1,1,1,1
0.873304188,1,1,1,0,1,1,1,1
0.873336438,1,1,0,0,1,1,1,1
0.875100875,1,1,1,0,1,1,1,1
0.875126813,1,1,0,0,1,1,1,1
0.877549125,1,1,1,0,1,1,1,1
0.877578688,1,1,0,0,1,1,1,1
0.881058062,1,1,1,0,1,1,1,1
0.881090188,1,1,0,0,1,1,1,1
0.885944875,1,1,1,0,1,1,1,1
0.885980250,1,1,0,0,1,1,1,1
0.886938312,1,1,1,0,1,1,1,1
0.886963687,1,1,0,0,1,1,1,1
0.888775688,1,1,1,0,1,1,1,1
0.888809063,1,1,0,0,1,1,1,1
0.891967687,1,1,1,0,1,1,1,1
0.891998125,1,1,0,0,1,1,1,1
0.895978437,1,1,1,0,1,1,1,1
0.896014312,1,1,0,0,1,1,1,1
0.900569375,1,1,1,0,1,1,1,1
0.900601063,1,1,0,0,1,1,1,1
0.900605875,0,1,0,0,1,1,1,1
0.900620375,0,0,0,0,1,1,1,1
0.924406625,0,0,0,0,1,1,1,1
