Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.668325215,0,0,0,0,1,1,1,1
0.687682062,0,1,0,0,1,1,1,1
0.688061000,1,1,0,0,1,1,1,1
0.691510562,1,1,1,0,1,1,1,1
0.691542063,1,1,0,0,1,1,1,1
0.693671125,1,1,1,0,1,1,1,1
0.693701625,1,1,0,0,1,1,1,1
0.696956500,1,1,1,0,1,1,1,1
0.696988500,1,1,0,0,1,1,1,1
0.701211500,1,1,1,0,1,1,1,1
0.701242375,1,1,0,0,1,1,1,1
0.706924125,1,1,1,0,1,1,1,1
0.706957750,1,1,0,0,1,1,1,1
0.708013000,1,1,1,0,1,1,1,1
0.708042000,1,1,0,0,1,1,1,1
0.710105125,1,1,1,0,1,1,1,1
0.710138375,1,1,0,0,1,1,1,1
0.713394437,1,1,1,0,1,1,1,1
0.713426187,1,1,0,0,1,1,1,1
0.717646688,1,1,1,0,1,1,1,1
0.717680375,1,1,0,0,1,1,1,1
0.722336187,1,1,1,0,1,1,1,1
0.722367688,1,1,0,0,1,1,1,1
0.722372062,0,1,0,0,1,1,1,1
0.722386813,0,0,0,0,1,1,1,1
0.763591812,0,0,0,0,1,1,1,1
