Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.940586163,0,0,0,0,1,1,1,1
0.951907562,0,1,0,0,1,1,1,1
0.953560000,1,1,0,0,1,1,1,1
0.956279063,1,1,1,0,1,1,1,1
0.956310250,1,1,0,0,1,1,1,1
0.958078625,1,1,1,0,1,1,1,1
0.958108312,1,1,0,0,1,1,1,1
0.960885312,1,1,1,0,1,1,1,1
0.960917812,1,1,0,0,1,1,1,1
0.964485687,1,1,1,0,1,1,1,1
0.964516188,1,1,0,0,1,1,1,1
0.969243312,1,1,1,0,1,1,1,1
0.969276500,1,1,0,0,1,1,1,1
0.970222500,1,1,1,0,1,1,1,1
0.970251437,1,1,0,0,1,1,1,1
0.972093375,1,1,1,0,1,1,1,1
0.972126062,1,1,0,0,1,1,1,1
0.974995938,1,1,1,0,1,1,1,1
0.975027375,1,1,0,0,1,1,1,1
0.979052250,1,1,1,0,1,1,1,1
0.979084063,1,1,0,0,1,1,1,1
0.984149000,1,1,1,0,1,1,1,1
0.984179563,1,1,0,0,1,1,1,1
0.984184063,0,1,0,0,1,1,1,1
0.984905313,0,0,0,0,1,1,1,1
1.009259125,0,0,0,0,1,1,1,1
