Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.415664297,0,0,0,0,1,1,1,1
0.439377250,0,1,0,0,1,1,1,1
0.439756812,1,1,0,0,1,1,1,1
0.442617938,1,1,1,0,1,1,1,1
0.442654063,1,1,0,0,1,1,1,1
0.444044938,1,1,1,0,1,1,1,1
0.444071500,1,1,0,0,1,1,1,1
0.445496187,1,1,1,0,1,1,1,1
0.445531000,1,1,0,0,1,1,1,1
0.446916563,1,1,1,0,1,1,1,1
0.446943125,1,1,0,0,1,1,1,1
0.448368125,1,1,1,0,1,1,1,1
0.448403500,1,1,0,0,1,1,1,1
0.449786375,1,1,1,0,1,1,1,1
0.449813063,1,1,0,0,1,1,1,1
0.451236375,1,1,1,0,1,1,1,1
0.451271188,1,1,0,0,1,1,1,1
0.452657000,1,1,1,0,1,1,1,1
0.452683750,1,1,0,0,1,1,1,1
0.454107500,1,1,1,0,1,1,1,1
0.454142375,1,1,0,0,1,1,1,1
0.456938937,1,1,1,0,1,1,1,1
0.456965187,1,1,0,0,1,1,1,1
0.456969937,0,1,0,0,1,1,1,1
0.456981437,0,0,0,0,1,1,1,1
0.505527125,0,0,0,0,1,1,1,1
