Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.384632446,0,0,0,0,1,1,1,1
0.394223687,0,1,0,0,1,1,1,1
0.394603313,1,1,0,0,1,1,1,1
0.397494125,1,1,1,0,1,1,1,1
0.397528875,1,1,0,0,1,1,1,1
0.398904125,1,1,1,0,1,1,1,1
0.398930875,1,1,0,0,1,1,1,1
0.400346688,1,1,1,0,1,1,1,1
0.400381437,1,1,0,0,1,1,1,1
0.401755812,1,1,1,0,1,1,1,1
0.401782562,1,1,0,0,1,1,1,1
0.403198250,1,1,1,0,1,1,1,1
0.403233625,1,1,0,0,1,1,1,1
0.404609625,1,1,1,0,1,1,1,1
0.404636375,1,1,0,0,1,1,1,1
0.406053563,1,1,1,0,1,1,1,1
0.406088625,1,1,0,0,1,1,1,1
0.407462125,1,1,1,0,1,1,1,1
0.407488875,1,1,0,0,1,1,1,1
0.408902125,1,1,1,0,1,1,1,1
0.408936875,1,1,0,0,1,1,1,1
0.411829063,1,1,1,0,1,1,1,1
0.411856875,1,1,0,0,1,1,1,1
0.411861563,0,1,0,0,1,1,1,1
0.411872875,0,0,0,0,1,1,1,1
0.432854250,0,0,0,0,1,1,1,1
