Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.517764553,0,0,0,0,1,1,1,1
0.526009625,0,1,0,0,1,1,1,1
0.526387812,1,1,0,0,1,1,1,1
0.529871500,1,1,1,0,1,1,1,1
0.529906813,1,1,0,0,1,1,1,1
0.531555875,1,1,1,0,1,1,1,1
0.531582625,1,1,0,0,1,1,1,1
0.533261688,1,1,1,0,1,1,1,1
0.533297062,1,1,0,0,1,1,1,1
0.534944813,1,1,1,0,1,1,1,1
0.534971500,1,1,0,0,1,1,1,1
0.536651750,1,1,1,0,1,1,1,1
0.536687187,1,1,0,0,1,1,1,1
0.538333938,1,1,1,0,1,1,1,1
0.538360625,1,1,0,0,1,1,1,1
0.540040688,1,1,1,0,1,1,1,1
0.540075938,1,1,0,0,1,1,1,1
0.541726375,1,1,1,0,1,1,1,1
0.541753125,1,1,0,0,1,1,1,1
0.543433375,1,1,1,0,1,1,1,1
0.543468813,1,1,0,0,1,1,1,1
0.546967500,1,1,1,0,1,1,1,1
0.546995312,1,1,0,0,1,1,1,1
0.546999875,0,1,0,0,1,1,1,1
0.547012875,0,0,0,0,1,1,1,1
0.576238625,0,0,0,0,1,1,1,1
