Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1.595310217,0,0,0,0,1,1,1,1
1.606644063,0,1,0,0,1,1,1,1
1.607023125,1,1,0,0,1,1,1,1
1.607797250,1,1,1,0,1,1,1,1
1.607825750,1,1,0,0,1,1,1,1
1.608734563,1,1,1,0,1,1,1,1
1.608761250,1,1,0,0,1,1,1,1
1.609794938,1,1,1,0,1,1,1,1
1.609823688,1,1,0,0,1,1,1,1
1.610732562,1,1,1,0,1,1,1,1
1.610759312,1,1,0,0,1,1,1,1
1.611793188,1,1,1,0,1,1,1,1
1.611821875,1,1,0,0,1,1,1,1
1.612730688,1,1,1,0,1,1,1,1
1.612757375,1,1,0,0,1,1,1,1
1.613791313,1,1,1,0,1,1,1,1
1.613820063,1,1,0,0,1,1,1,1
1.614728563,1,1,1,0,1,1,1,1
1.614755187,1,1,0,0,1,1,1,1
1.615789000,1,1,1,0,1,1,1,1
1.615817688,1,1,0,0,1,1,1,1
1.616824562,1,1,1,0,1,1,1,1
1.616850625,1,1,0,0,1,1,1,1
1.616854938,0,1,0,0,1,1,1,1
1.616867062,0,0,0,0,1,1,1,1
1.637487625,0,0,0,0,1,1,1,1
