Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.689636736,0,0,0,0,1,1,1,1
0.704209562,0,1,0,0,1,1,1,1
0.704587188,1,1,0,0,1,1,1,1
0.705467562,1,1,1,0,1,1,1,1
0.705498063,1,1,0,0,1,1,1,1
0.706409750,1,1,1,0,1,1,1,1
0.706436250,1,1,0,0,1,1,1,1
0.707473000,1,1,1,0,1,1,1,1
0.707501875,1,1,0,0,1,1,1,1
0.708412562,1,1,1,0,1,1,1,1
0.708439062,1,1,0,0,1,1,1,1
0.709475188,1,1,1,0,1,1,1,1
0.709504313,1,1,0,0,1,1,1,1
0.710414937,1,1,1,0,1,1,1,1
0.710441375,1,1,0,0,1,1,1,1
0.711477563,1,1,1,0,1,1,1,1
0.711506625,1,1,0,0,1,1,1,1
0.712416562,1,1,1,0,1,1,1,1
0.712443000,1,1,0,0,1,1,1,1
0.713479250,1,1,1,0,1,1,1,1
0.713508125,1,1,0,0,1,1,1,1
0.714434688,1,1,1,0,1,1,1,1
0.714462188,1,1,0,0,1,1,1,1
0.714467000,0,1,0,0,1,1,1,1
0.714479437,0,0,0,0,1,1,1,1
0.748110812,0,0,0,0,1,1,1,1
