Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.686437323,0,0,0,0,1,1,1,1
0.694818750,0,1,0,0,1,1,1,1
0.695198437,1,1,0,0,1,1,1,1
0.701417625,1,1,1,0,1,1,1,1
0.701450937,1,1,0,0,1,1,1,1
0.708512750,1,1,1,0,1,1,1,1
0.708539750,1,1,0,0,1,1,1,1
0.716415250,1,1,1,0,1,1,1,1
0.716447813,1,1,0,0,1,1,1,1
0.725072938,1,1,1,0,1,1,1,1
0.725099938,1,1,0,0,1,1,1,1
0.734531125,1,1,1,0,1,1,1,1
0.734563625,1,1,0,0,1,1,1,1
0.744785313,1,1,1,0,1,1,1,1
0.744812250,1,1,0,0,1,1,1,1
0.755710375,1,1,1,0,1,1,1,1
0.755742500,1,1,0,0,1,1,1,1
0.767289375,1,1,1,0,1,1,1,1
0.767316375,1,1,0,0,1,1,1,1
0.774822500,1,1,1,0,1,1,1,1
0.774851813,1,1,0,0,1,1,1,1
0.775860125,1,1,1,0,1,1,1,1
0.775886063,1,1,0,0,1,1,1,1
0.775890938,0,1,0,0,1,1,1,1
0.775902625,0,0,0,0,1,1,1,1
0.817364750,0,0,0,0,1,1,1,1
