Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.730444755,0,0,0,0,1,1,1,1
0.748222250,0,1,0,0,1,1,1,1
0.748600625,1,1,0,0,1,1,1,1
0.755947875,1,1,1,0,1,1,1,1
0.755981187,1,1,0,0,1,1,1,1
0.764241875,1,1,1,0,1,1,1,1
0.764268875,1,1,0,0,1,1,1,1
0.773468938,1,1,1,0,1,1,1,1
0.773501937,1,1,0,0,1,1,1,1
0.783582750,1,1,1,0,1,1,1,1
0.783609812,1,1,0,0,1,1,1,1
0.794615938,1,1,1,0,1,1,1,1
0.794648563,1,1,0,0,1,1,1,1
0.806562875,1,1,1,0,1,1,1,1
0.806589812,1,1,0,0,1,1,1,1
0.819281438,1,1,1,0,1,1,1,1
0.819314000,1,1,0,0,1,1,1,1
0.832759187,1,1,1,0,1,1,1,1
0.832786250,1,1,0,0,1,1,1,1
0.841462875,1,1,1,0,1,1,1,1
0.841491937,1,1,0,0,1,1,1,1
0.842420437,1,1,1,0,1,1,1,1
0.842448125,1,1,0,0,1,1,1,1
0.842452875,0,1,0,0,1,1,1,1
0.842465875,0,0,0,0,1,1,1,1
0.895834438,0,0,0,0,1,1,1,1
