Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.526883232,0,0,0,0,1,1,1,1
0.543267437,0,1,0,0,1,1,1,1
0.544695250,1,1,0,0,1,1,1,1
0.546728062,1,1,1,0,1,1,1,1
0.546757063,1,1,0,0,1,1,1,1
0.548580625,1,1,1,0,1,1,1,1
0.548606313,1,1,0,0,1,1,1,1
0.550970500,1,1,1,0,1,1,1,1
0.551000687,1,1,0,0,1,1,1,1
0.554119625,1,1,1,0,1,1,1,1
0.554149000,1,1,0,0,1,1,1,1
0.558001125,1,1,1,0,1,1,1,1
0.558032375,1,1,0,0,1,1,1,1
0.559193063,1,1,1,0,1,1,1,1
0.559218625,1,1,0,0,1,1,1,1
0.561363375,1,1,1,0,1,1,1,1
0.561394938,1,1,0,0,1,1,1,1
0.564168125,1,1,1,0,1,1,1,1
0.564197188,1,1,0,0,1,1,1,1
0.567925250,1,1,1,0,1,1,1,1
0.567957000,1,1,0,0,1,1,1,1
0.572757187,1,1,1,0,1,1,1,1
0.572786563,1,1,0,0,1,1,1,1
0.572791562,0,1,0,0,1,1,1,1
0.573517000,0,0,0,0,1,1,1,1
0.598691625,0,0,0,0,1,1,1,1
