Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.918760267,0,0,0,0,1,1,1,1
0.923941937,0,1,0,0,1,1,1,1
0.925583687,1,1,0,0,1,1,1,1
0.927923625,1,1,1,0,1,1,1,1
0.927954000,1,1,0,0,1,1,1,1
0.929821688,1,1,1,0,1,1,1,1
0.929851063,1,1,0,0,1,1,1,1
0.932988250,1,1,1,0,1,1,1,1
0.933018875,1,1,0,0,1,1,1,1
0.937044437,1,1,1,0,1,1,1,1
0.937073062,1,1,0,0,1,1,1,1
0.941718938,1,1,1,0,1,1,1,1
0.941749500,1,1,0,0,1,1,1,1
0.943010000,1,1,1,0,1,1,1,1
0.943039000,1,1,0,0,1,1,1,1
0.945262687,1,1,1,0,1,1,1,1
0.945294437,1,1,0,0,1,1,1,1
0.948121375,1,1,1,0,1,1,1,1
0.948150438,1,1,0,0,1,1,1,1
0.951944313,1,1,1,0,1,1,1,1
0.951975937,1,1,0,0,1,1,1,1
0.956828625,1,1,1,0,1,1,1,1
0.956858000,1,1,0,0,1,1,1,1
0.956862437,0,1,0,0,1,1,1,1
0.957579063,0,0,0,0,1,1,1,1
0.976912438,0,0,0,0,1,1,1,1
