Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.554432629,0,0,0,0,1,1,1,1
0.590429000,0,1,0,0,1,1,1,1
0.592334750,1,1,0,0,1,1,1,1
0.594670250,1,1,1,0,1,1,1,1
0.594699312,1,1,0,0,1,1,1,1
0.596734125,1,1,1,0,1,1,1,1
0.596760063,1,1,0,0,1,1,1,1
0.599502625,1,1,1,0,1,1,1,1
0.599532875,1,1,0,0,1,1,1,1
0.603204688,1,1,1,0,1,1,1,1
0.603234250,1,1,0,0,1,1,1,1
0.607762187,1,1,1,0,1,1,1,1
0.607793687,1,1,0,0,1,1,1,1
0.609094563,1,1,1,0,1,1,1,1
0.609120375,1,1,0,0,1,1,1,1
0.611547188,1,1,1,0,1,1,1,1
0.611579125,1,1,0,0,1,1,1,1
0.614774188,1,1,1,0,1,1,1,1
0.614803563,1,1,0,0,1,1,1,1
0.619189250,1,1,1,0,1,1,1,1
0.619221187,1,1,0,0,1,1,1,1
0.624751250,1,1,1,0,1,1,1,1
0.624780750,1,1,0,0,1,1,1,1
0.624785313,0,1,0,0,1,1,1,1
0.625644500,0,0,0,0,1,1,1,1
0.680887750,0,0,0,0,1,1,1,1
