Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.615889126,0,0,0,0,1,1,1,1
0.641000125,0,1,0,0,1,1,1,1
0.642618125,1,1,0,0,1,1,1,1
0.645235688,1,1,1,0,1,1,1,1
0.645265375,1,1,0,0,1,1,1,1
0.647302562,1,1,1,0,1,1,1,1
0.647332062,1,1,0,0,1,1,1,1
0.650762000,1,1,1,0,1,1,1,1
0.650792500,1,1,0,0,1,1,1,1
0.655223125,1,1,1,0,1,1,1,1
0.655251937,1,1,0,0,1,1,1,1
0.660490812,1,1,1,0,1,1,1,1
0.660521313,1,1,0,0,1,1,1,1
0.661894063,1,1,1,0,1,1,1,1
0.661923000,1,1,0,0,1,1,1,1
0.664392750,1,1,1,0,1,1,1,1
0.664424187,1,1,0,0,1,1,1,1
0.667633000,1,1,1,0,1,1,1,1
0.667661750,1,1,0,0,1,1,1,1
0.672102688,1,1,1,0,1,1,1,1
0.672133750,1,1,0,0,1,1,1,1
0.677662250,1,1,1,0,1,1,1,1
0.677691313,1,1,0,0,1,1,1,1
0.677695812,0,1,0,0,1,1,1,1
0.678302688,0,0,0,0,1,1,1,1
0.732837312,0,0,0,0,1,1,1,1
